一种应用于Deep Web数据集成系统中的查询松弛策略	针对Deep Web环境中存在的失败查询,提出了一种有效的查询松弛策略.所有Deep Web资源按查询接口属性分组,组成全局数据源关系图(DRG);针对特定查询将DRG转换为对应该查询请求的数据源关系图;利用该DRG,按照特定的规则进行查询松弛和执行处理.针对查询松弛导致的部分结果可能与用户查询请求的相似度较低的问题,提出先通过Skyline方法对结果进行筛选,然后再根据各个结果实例与用户查询的相似度进行Top-k排序,最后将最接近用户要求的结果集返回给用户.通过实验验证了提出的查询松弛策略的有效性.
基于穿行次数的大规模图数据路径查询	在涉及复杂图(graph)数据的场景中,图的距离查询和路径查询有着重要的应用.有些应用涉及到规模巨大的图,并且要求快速的查询响应.为此需要高效的查询策略.通过研究可以发现,图内部节点的重要程度往往是不同的,并且可以利用节点的"穿行次数"度量节点的重要性.根据穿行次数为节点构建标签,并保证仅根据节点标签就能处理图的距离查询和路径查询,从而避免对图的遍历,这是一个基本的查询策略.这些标签的规模要尽量小,以降低空间开销、提高查询速度;而其构建过程却要足够快,以保证构建效率.将这个基于穿行次数的查询处理策略称为"穿行次数算法",最终的实验结果验证了该算法的有效性.
基于路网的不确定性轨迹预测	移动对象的轨迹预测研究已成为当前移动对象研究中关注的热点,移动对象的轨迹预测技术具有高度的研究价值及广阔的应用前景.目前移动对象的轨迹预测方法主要是针对历史轨迹确定的欧氏空间轨迹预测,但有相当一部分的应用要求预测历史轨迹存在不确定性的移动对象在受限路网中的轨迹.为了解决这一问题,首先提出了不确定性轨迹的生成方法及其表示形式,然后提出了一种基于路网的不确定性轨迹频繁模式挖掘算法,最后给出了利用索引快速查找轨迹模式并进行预测的方法.实验结果表明该方法具有较高的预测准确率、较好的查询效率以及较低的存储空间.
基于Contourlet域特征点的抗几何攻击水印方法	有效抵抗几何攻击的水印算法是目前水印技术研究的难点之一,很小的几何变形就可能使大多数水印算法失效.对图像Contourlet变换和Harris-Affine算子的特性进行了分析和讨论,在此基础上提出了一种以仿射不变特征点的基于Contourlet的抗几何攻击水印算法.首先,用Contourlet变换提取出多尺度、多方向的纹理信息;再用Harris-Affine检测算子从变换域的中、低频方向子带中提取出仿射不变特征点,结合自适应局部结构的特征尺度确定特征区域,并用U变换对其归一化处理,水印就自适应地嵌入到归一化后的区域中;水印嵌入采纳矢量量化的策略,将水印信息重复嵌入到不同方向子带、多个不相交的局部仿射不变特征区域.检测时,利用特征点实现水印的重同步,采用"多数原则"来提取水印的位信息,无需求助于原始图像.仿真结果表明,算法不仅具有较好的透明性,而且对常规信号处理和去仿射攻击均具有较好的鲁棒性
基于位置服务中的连续查询隐私保护研究	近年来,伴随着移动计算技术和无限设备的蓬勃发展,位置服务中的隐私保护研究受到了学术界的广泛关注,提出了很多匿名算法以保护移动用户的隐私信息.但是现有方法均针对snapshot查询,不能适用于连续查询.如果将现有的静态匿名算法直接应用于连续查询,将会产生隐私泄露、匿名服务器工作代价大等问题.针对这些问题,提出了δp-隐私模型和δq-质量模型来均衡隐私保护与服务质量的矛盾,并基于此提出了一种贪心匿名算法.该算法不仅适用于snapshot查询,也适用于连续查询.实验结果证明了算法的有效性.
一般性粒子滤波算法收敛特性	粒子滤波算法在处理最优滤波问题时受到了广泛的重视,对此类算法的收敛性研究是该领域研究的热点问题.首先介绍了一种变换的一般性粒子滤波算法,与一般性粒子滤波算法不同,在每次执行重要性采样步骤后,新算法需要判别是否需要重新执行重采样步骤和重要性采样步骤.随后对新算法的几乎必然收敛性进行了分析,并将对新算法的收敛性讨论推广到一般性粒子滤波算法中.研究了当感兴趣函数在扩展状态后验联合分布下四阶距存在并且递归次数有限时,由一般性粒子滤波算法得出的估计几乎收敛于最优估计的充分条件.最后,通过一组仿真实验来说明一般性粒子滤波算法的几乎必然收敛性.
一种用于信任管理的新主观逻辑	提出了一种新主观逻辑.原主观逻辑是进行不确定性推理的一个理论框架,它建立在D-S证据理论的框架之上,是标准逻辑和概率演算的扩展,由于其在信任管理中的成功应用而被广泛关注.但是它要求鉴别框架元素必须是互斥的.提出的新主观逻辑是在Dezert-Smarandache理论的框架上对原主观逻辑的一个扩展,解决了这个强约束,能够同时处理不确定和矛盾的信息.另外,推导了3个逻辑算子,并且证明是原主观逻辑的逻辑算子的扩展.定义了两个证据算子,并指出原主观逻辑的合意算子的缺点.最后,通过实验说明其计算复杂度是可以接受的.
基于离散微粒群算法的动态Web服务选择	Web服务作为一种新型的Web应用模式近年来得到了迅速的发展.如何高效动态地把现存的各种Web服务整合起来以形成新的满足不同用户需求的增值的复杂服务,已成为新的应用需求和研究热点.针对服务选择问题,设计了一种面向动态Web服务选择的离散微粒群算法,并结合服务选择研究背景,提出了3种速度计算算子和一种位置进化方程.针对进化算法容易陷入局部极值这一共同缺陷,定义了微粒无希望/重希望准则,以保证微粒群的多样性,增强全局搜索能力.理论分析和实验结果表明,该算法不仅具有较快的收敛速度,而且具有较好的全局收敛性能;同时说明Max运算在服务选择中具有较好的综合性能.
工作流管理系统中一种概率性分析和调整时间约束的方法	时间管理是工作流管理系统应提供的重要功能,其中一个关键问题是分析时间约束的可行性,并调整时间约束以避免可能出现的违反.然而,在高度不确定的工作流环境下,传统定性的时间约束分析结果过于严格.因此,提出概率时间约束工作流网来描述时间约束下的工作流流程.基于该网提出一种方法,以随机的形式分析活动满足时间约束的概率.该概率能帮助流程管理者灵活地分析时间约束的可行性,进一步为时间约束调整提供精确的指导.此外,用一个实际工作流管理系统中的例子验证工作的有效性.
E-R模型的回答集编程表示	作为一种广为接受的语义数据模型,E-R模型被广泛地应用于数据库设计阶段.但是E-R模型自身却存在某些缺陷,这些缺陷制约了对其进一步的应用.针对E-R模型的改进,目前主要存在基于图形表示和描述性逻辑表示两种途径.但是,前者仍然不具有自动推理能力,而后者却存在表示能力弱、与数据库兼容性不足等缺陷.为克服以上缺陷,提出一种利用回答集编程(answer set programming)表示E-R模型的新方法.首先,对应于数据库的E-R模式被区分为基本和扩展两种类型,并分别完成它们的语法与语义定义.其次,利用回答集编程完成以上两类模式的逻辑编程表示.最后,完成表示的正确性证明.提出的方法不仅为E-R模型提供了一种新的逻辑表示途径,而且相对原有的两种E-R模型改进途径具有明显的优势.更为重要的是该研究成果使得应用E-R模型实现异构数据库之间的语义协作成为可能.
GPE:一种基于图模型的NFS有意义结果确定模型	XML非完全结构查询(NFS)允许用户利用部分XML结构信息,甚至仅仅是关键字来描述查询要求,是在缺乏完整的XML文档结构信息情况下的重要查询手段.针对图模型下的NFS有意义结果判断问题,在PE模型基础上提出一种基于图的有意义结果判断模型GPE,包括结果粒度、模式实体定义、等价模式定义和判断规则;针对标签歧义性和复杂的结构语义,GPE提出一种结合基于领域字典的语境受限的标签语义相似性和模式结构相似性的等价模式计算方法.通过在实际数据集和XML实验数据上的实验表明,GPE模型在查准率和查全率上均有较大提高.
一种服务器透明的外包数据库查询验证方法	查询验证作为外包数据库(ODB)重要安全需求之一,旨在向用户证明其所得查询结果集的正确性与完备性.目前大多数查询认证方法以服务器为验证中心,这不仅需要扩展数据库服务器功能,而且增加了服务器负担.提出一种服务器透明模式的查询验证方法(签名链,简称CES),将验证对象(VO)嵌于外包数据库表内部,数据库服务器通过常规的数据库服务实现数据内容与验证对象的检索.该方法避免了对服务器功能扩展或成为计算瓶颈,并且保证了ODB并发更新操作时VO的一致性.
支持块编辑距离的索引结构	在近似字符串匹配中,传统的编辑距离不能很好地衡量诸如人名、地址等数据的相似关系,而块编辑距离可以很好地衡量两个字符串的相似性.如何有效地支持块编辑距离,进行近似字符串查询处理具有重要的意义.计算两个字符串的块编辑距离是一个NP完全问题,因此希望提供有效的方法可以增强过滤能力,并减少假通过率.设计了一种支持移动编辑距离的新颖的索引结构SHV-Trie,通过研究移动编辑距离的操作特性,使用字母出现的频率作为支持移动编辑距离操作的一个下界,并且提出相应的查询过滤算法,同时,针对索引SHV-Trie的空间开销过大的问题,提出一种优化字母排列的索引结构和一种压缩的索引结构及相关查询过滤算法.真实数据集上的实验结果与分析显示了所提出的索引结构具有良好的过滤能力,并通过减少效率假通过率提高查询的效率.
统计分布的多方保密计算	多方保密的概念是姚期智教授首先提出的,是计算网络计算环境中隐私保护的关键技术,在密码学中占有重要的地位,是构造许多密码学协议的基本模块,是国际密码学界近年来研究的热点问题.这方面国内外的学者进行了大量的研究,已经取得了许多理论成果与实用成果,但还有许多应用问题需要研究.介绍了多方保密计算方面的研究现状和一些需要研究的问题,研究了统计工作中所遇到的保密问题,主要解决在统计工作中经常遇到的统计分布的保密计算问题,基于计算离散对数困难性假设,运用严格的逻辑推理方法,提出了该问题的3个多方保密计算方案,并用模拟范例证明了方案的保密性.这样的问题尚没有见到研究报道,解决方案对于实际工作中的保密统计计算有重要的意义,它们可以用于保护统计过程中被统计对象的各种数据的保密,从而使被统计者不用担心隐私的泄漏,使所获得的数据更为可靠,更具有参考价值.
基于通用访问结构的秘密共享的一般性结论	目前对于秘密共享的研究主要集中在具备完善性的访问结构上,且所包含的访问集个数较少;关于份额界的研究主要是以被研究对象服从均匀分布为假设前提,并以份额所需比特位数作为界的度量,从而导致研究成果具有局限性.基于通用访问结构,给出了包含任意多个访问集、适用于完善性与非完善性访问结构的基于信息论的一般性结论,是当前相关研究成果的一般化总结,并可作为更深层次研究的基础和工具.同时,以份额的信息熵作为界的度量,给出了适用于所有份额的通用界和只适用于特定份额的通用界,这些结论同样是对相关研究成果的一般化总结,且均适用于任意概率分布,其中某些界要比许多已知研究结果具有更好的紧致性.
基于音频特征的多小波域水印算法	基于对音频特征的分析,提出了一种多小波域的水印算法.结合人类听觉系统的时频掩蔽特性,该算法分析音频帧的过零率及时域能量,确定用于嵌入水印的帧.利用音频的分抽样特征和多小波变换在信号处理中的优势,将每一个音频帧进行分抽样为两个子音频帧并分别将其变换到多小波域.利用两个子音频帧在多小波域的能量来估计所嵌入水印的容量,并根据它们的能量大小关系完成水印的嵌入.水印的提取过程转为一个使用支持向量机进行处理的二分类问题.实验结果验证了所提出的水印算法能根椐音频自身的特点寻找到适合用于嵌入水印的音频帧,且能动态调整水印的嵌入强度,在保证听觉质量的同时提高了水印的鲁棒性.
一种基于逻辑框架的数字版权管理机制和实现	权利描述语言用来构造许可证,描述数字内容的使用权利.鉴于现存的权利描述语言存在表达力不足、缺乏正式语义等问题,提出一种基于逻辑框架的数字版权管理语言LucScript.对该语言框架的逻辑语义、语法和触发运行机制进行了分析和说明,描述了该语言的实现方法,并对该语言的应用和使用控制过程进行了示例.该语言基于统一的具有单一稳态结构的Active-U-Datalog语义,具有比现存权限描述语言更强的表达力和灵活性.LucScript语言可有效地提高DRM系统对数据内容使用的灵活性和实时控制能力.
高效的无证书签名和群签名方案	研究新兴无证书密码体制下的群签名问题,提出无证书群签名的安全模型.利用双线性映射提出一个无证书签名方案,并在随机预言模型下给出它正式的安全证明.利用所给的签名方案设计了一个无证书群签名方案.前者在签名和验证阶段只需一个双线性运算,后者只需两个,故它们具有执行性能上的优势.它们的安全性建立在计算Diffie-Hellman问题困难性上.该群签名方案满足群签名的各种安全要求,还允许用户动态的加入与离开且不需更新群公钥和其他群成员的签名私钥.群签名的长度不依赖于群成员的数目.鉴于群签名方案安全、高效和无证书管理的优点,它可广泛应用于电子商务、电子投票等方面.
基于圆形选择技术的循环三边组合测量法的研究	在传感器网络的绝大多数应用中,只有当节点和被感知物体的位置已知时节点获得的信息才有意义.因此,节点定位技术是传感器网络的关键技术之一.IACT(i mproved alternating combinationtrilateration)算法通过新的高权重三角形选择方法对ACT(alternating combination trilateration)算法进行了改进.在不影响定位精度的前提下,IACT具有更低的计算费用.但是,它的计算费用仍然很高.因此,提出了基于圆形的权重三角形选择方法,并在该选择方法的基础上提出了ACTBCS(alternating combination trilateration based on circle-selection)算法来进一步改进IACT算法.研究表明ACTBCS在保证定位精度的前提下具有更低的计算费用.
无线传感器网络能量均衡消耗的TDMA调度算法	无线传感器由于节点能量有限,sink节点作为多对一数据收集模式的中心,本质上存在能量消耗的不均衡.依据典型的传感器网络参数,主要从理论上分析了一般k跳网络的节点能量消耗特征,证明在一般k跳网络中,必定有一个最佳的k使得网络寿命最长.在此基础上,提出了一种一般k跳网络的TDMA调度算法,并给出了一般k跳网络所需时隙的上界.以此为基础,给出了一般k跳网络全网调度的策略.理论分析与数值模拟计算结果证实了算法的正确性与有效性.
基于RDF句子的语义网文档搜索	语义网文档搜索是发现语义网数据的重要手段.针对传统信息检索方法的不足,提出基于RDF句子的文档词向量构建方法.首先,文档被看作RDF句子的集合,从而在文档分析和索引时能够保留基于RDF句子的结构信息.其次,引入资源的权威描述的定义,能够跨越文档边界搜索到语义网中互连的数据.此外,扩展了传统的倒排索引结构,使得系统能够提取出更加便于阅读和理解的片段.在大规模真实数据集上的实验表明,该方法可以显著地提高文档检索的效率,在可用性上具有明显的提升.
序列数据相似性查询技术研究综述	序列数据在文本、Web访问日志文件、生物数据库等应用中普遍存在,对其进行相似性查询是一种提取有用信息的重要手段.近年来,随着各种科学计算的发展和序列数据的大量产生,序列相似性查询已经成为数据分析领域一个研究热点.其涉及到的几个重要问题有面向各种应用领域的相似性度量及其相互之间的关系;随机序列数据中距离分布的统计信息及其对分析查询算法性能的作用;在大规模数据中,各种高效回答相似性查询的关键技术及各自的优缺点比较.总结了序列数据的分类和特点,给出了几种序列数据相似性度量和随机序列之间距离分布的统计信息,并进一步分析了这些度量之间的关系.接着给出了几种序列相似性查询的类型,以及序列相似性查询要解决的核心问题.在此基础上,针对各种序列相似性查询关键技术进行分类和评价.最后,讨论了关于序列数据相似性查询研究所面临的挑战,并归结了未来的研究方向.
一种新的频繁项集精简表示方法及其挖掘算法的研究	频繁项集挖掘是数据挖掘研究领域的一个基本问题,其瓶颈在于频繁项集全集的结果过多,冗余现象严重.主要的解决思路是只挖掘全体频繁项集中有代表性的子集,使得这种子集或者可满足应用的需要或者可由它们导出其他项集.最大项集和闭项集便是这类解决方案中两种最典型的子集形式.在最大项集和闭项集的基础上,提出了元项集这一新的频繁项集精简表示方法.首先,证明了最大项集和闭项集都是元项集的特例,且元项集所包含的项集数目介于二者之间;其次,讨论了元项集的性质.最后,通过在闭项集挖掘算法DCI-Closed-Index的基础上引入剪枝策略,设计了一个元项集挖掘算法.实验结果表明,所提出的挖掘算法是有效的和高效的.
基于SVM的fMRI数据分类:一种解码思维的方法	使用机器学习分类f MRI数据的方法已逐渐被应用到解码思维状态的研究中.对比了使用血氧含量水平(blood oxygenlevel dependent,BOLD)累计变化和使用BOLD变化时间序列作为特征值训练SVM分类器,并依此来判断人脑正在执行的高级思维类型.在预测4×4 Sudoku问题类型的实验中,使用BOLD时间序列为特征的方法分类正确率较高.通过分析分类正确率较高的voxel的解剖结构,发现很多voxel位于前额、顶叶、前扣带回等与高级思维关系密切的脑区,实验结论与认知神经科学相关结论吻合.该方法可以进一步应用在脑机接口(brain computer interface,BCI)等领域.
基于中性突变的朴素基因表达式编程	分子进化中性学说认为生物的进化主要是由中性突变决定的.基因表达式编程(GEP)是一种将基因型和表现型分离的新的进化模型,其突出表现在基因组存在不被表达的中性区.基于朴素基因表达式编程(NGEP)模型研究了NGEP中性区在进化中的作用.主要工作包括:1)进一步完善了基于完全树编码方案的NGEP模型的概念;2)分析了传统GEP和NGEP的基因中性区域特点,指出NGEP存在更自由灵活的中性区域;3)通过控制基因长度和基因数量,调控中性区的大小和数量,研究了NGEP和传统GEP的中性区域在进化中的特殊作用,验证了NGEP的有效性;4)实验表明,在存在相同适度的中性区域条件下,NGEP比传统GEP进化更有效,且NGEP的成功率随中性区域的增加不会发生剧烈变化.
基于上下文的查询扩展	针对信息检索查询所使用的词可能与文档集中使用的词不匹配从而影响检索效果这一信息检索关键问题,提出了一种基于上下文的查询扩展方法,该方法根据查询的上下文信息对扩展词进行选择,同时考虑到扩展词与整个查询句以及与查询词的位置关系.在TREC信息检索测试集上进行的实验表明,相对于通常简单的语言模型,方法取得了5%～19%的提高.与流行的基于伪反馈的查询扩展方法相比,提出的方法也具有相当的平均准确率.
Viterbi和DTW算法的关系分析——在非特定人手语识别中的应用	在经典的模式识别理论中,Viterbi算法代表了统计概率的模式匹配算法,而DTW算法代表了模版匹配的模式匹配算法,它们之间是否存在关系至今尚无定论.为了找到这两种算法之间的关系,在"类别隶属度"是广义概率的假设前提下,应用模糊数学的理论在Viterbi算法与DTW算法之间建立起联系.首先,提出了利用模糊数学的贴近度把DTW算法的"距离"向Viterbi算法的"概率"转化的通用贴近度表达式,并对通用贴近度表达式给出了理论上的证明.其次,应用DTW的通用贴近度表达式重估HMM参数,建立DTW算法与Viterbi算法之间的模糊贴近度关系,并为此提出了δ-ε算法,得到基于数据帧的类似于HMM的参数重估形式.然后,为了确保建立DTW算法与Viterbi算法之间的模糊贴近度关系的正确性,以定理的形式给出了相应的证明.再次,通过设定的DTW贴近度表达式对HMM参数重估的过程中,发现了DTW贴近度的重估参数与HMM重估参数之间存在着的模糊关系,以定理的形式对这种模糊关系加以证明.最后,依据上述定理提出了Dtw-ViterbiⅠ,Ⅱ,Ⅲ算法,以定理的形式对Dtw-ViterbiⅠ,Ⅱ,Ⅲ算法的正确性加以证明,并将对Dtw-ViterbiⅠ,Ⅱ,Ⅲ算法应用于非特定人手语的识别.实验表明,把DTW算法的路径搜索策略以概率的形式引进到Viterbi算法中,能够以削减候选词集的方式部分消除非特定人手语识别的误识,从而提高大词汇量情况的下非特定人手语识别的识别率和速度.
一种笔段网格汉字字形描述方法	现有计算机汉字字形描述方法在特征选取、字形比对计算方面存在缺陷,无法解决输入错字、古籍异体字、拼合字和自动比对字形等问题.面向应用提出一种具有颗粒度适当、无歧义、规范化基元特征,能描述一切可能字形(包括错字、异体字、拼合字)骨架异同的笔段网格汉字字形描述方法,并基于该描述给出了简单笔画、复合笔画分类及自动提取、结构关系计算等算法.实验表明,该方法可用于支持各种字形的描画输入和字形整体、局部比对计算.
基于相关性分析的微阵列数据集成分类研究	基于微阵列数据的肿瘤诊断方法有望在不久的将来成为临床医学上一种快速且有效的分子层肿瘤诊断方法,但由于微阵列数据存在高维小样本的特点,因而对传统的分类方法提出了挑战,为此研究人员开始关注于性能更好的集成分类算法.针对现有的微阵列数据集成分类算法分类精度不高、计算量过大等问题,提出了一种基于相关性分析的微阵列数据集成分类算法.该算法可以通过计算训练子集间的相关性挑选出差异度最大的一组子集来进行训练,有效地增强了集成中的多样性.应用支持向量机作为基分类器,在急性白血病与结肠癌数据集上的实验结果表明了所提算法的有效性和可行性.同时,测试了算法在不同参数设置下的性能,测试结果为合理的参数设置提供了参考依据.
基于条件随机场模型的汉语功能块自动标注	汉语组块分析是将汉语句子中的词首先组合成基本块,进一步组合形成句子的功能块,最终形成一个具有层次组合结构的汉语句法描述结构.将汉语功能块的自动标注问题看作序列标注任务,并使用词和基本块作为标注单元分别建立标注模型.针对不同的标注模型,分别构建基本块层面的特征集合,并使用条件随机场模型进行汉语功能块的自动标注.实验数据来自清华大学TCT语料库,并且按照8∶2的比例切分形成训练集和测试集.实验结果表明,与仅使用词层面信息的标注模型相比,基本块特征信息的适当加入可以显著提高功能块标注性能.当使用人工标注的基本块信息时,汉语功能块自动标注的准确率达到88.47%,召回率达到89.93%,F值达到89.19%.当使用自动标注的基本块信息时,汉语功能块的标注的准确率为84.27%,召回率为85.57%,F值为84.92%.
自由变形技术及其应用	物体变形一直是计算机图形学和辅助设计中的一个热点问题.自由变形方法作为物体变形的核心技术,已被成功集成到当今主流的造型软件及动画软件中.对20年来自由变形技术的发展作了详细的综述,对现有技术进行了系统的分类,即将其分为非精确自由变形和精确自由变形,并根据所使用的变形工具的不同,将非精确自由变形技术分为4类:基于体的变形、基于曲面的变形、基于曲线的变形、基于点的变形.进一步比较了各类技术在变形工具的创建、参数化效率、变形工具的修改、多功能性等方面的优缺点,并分析了它们之间的内在联系.最后对其应用及未来工作进行了简要的介绍.该综述不仅对于该领域的研究人员具有重要的参考价值,而且对于三维造型师及三维动画师也有一定的指导意义.
二维环网中基于自适应维度气泡路由的组播算法	介绍了一种称为二维环网维度气泡组播路由(2DTDBMR)的新型算法.基于在一套网络中,采用相同的路由策略支持报文的单播操作和组播操作的思想,在二维环网中,基于TADBR自适应路由,设计实现了2DTDBMR组播算法.该组播算法在路由器中实现了多目标路由以及报文复制,而且算法是无死锁的.通过对二维环网中报文所有可能的路由情况进行分析发现当采用2DTDBMR组播算法时,报文最终都可以到达目标点.最后,在自行设计的模拟工具RingNetSim上实现了2DTDBMR组播算法.在RingNetSim上分析了2DTDBMR算法的性能,结果显示环网维度气泡组播算法的性能优异.
SoC数据映射中的快速应用程序存储分析方法	片上系统SoC在多媒体信息处理领域中应用广泛.多媒体处理程序中频繁的循环嵌套与多维数组操作严重影响着多媒体处理SoC系统的数据传输与存储效率.根据程序各个部分的存储需求量将程序中数据映射到SoC存储层次上,这是改善SoC系统性能与功耗的必要途径.针对多媒体处理程序,提出一种面向SoC数据映射的快速存储需求量分析方法.在存储需求量分析过程中,提出并使用正交线性有界格对所操作数据的数据域进行划分,并基于相关性进行存储需求量计算,得到了较为准确的存储需求量,并大幅度减少了分析时间.
